step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,step_ms
398,32,128,32,128,34601,3,3.05664,24.075264
399,32,1149,32,128,34681,3,3.0464,84.298752
400,32,128,32,1149,34618,3,5.721088,25.048063
401,32,128,32,128,34694,3,3.119104,24.354816
402,32,1149,32,128,34780,3,3.076096,83.221504
403,32,128,32,1149,34726,3,5.607424,24.785919
404,32,128,32,128,34802,3,3.11808,24.339457
405,32,128,32,128,34867,3,3.064832,24.196096
406,32,128,32,128,34941,3,3.06176,23.99744
407,32,1149,32,128,35024,3,3.049472,83.431427
408,32,128,32,1149,34961,3,5.617664,24.742912
409,32,128,32,128,35037,3,3.0976,24.308737
410,32,128,32,128,35118,3,3.070976,24.122368
411,32,128,32,128,35186,3,3.058688,23.938047
412,32,128,32,128,35264,3,3.048448,23.912449
413,32,1149,32,128,35343,3,3.050496,83.942398
414,32,128,32,1149,35299,3,5.67808,24.93952
415,32,128,32,128,35365,3,3.116032,24.486912
416,32,128,32,128,35437,3,3.083264,24.193024
417,32,128,32,128,35509,3,3.06176,24.05888
418,32,128,32,128,35582,3,3.058688,23.969791
419,32,1149,32,128,35658,3,3.050496,83.991554
420,32,1149,32,1149,35610,3,5.686272,85.519363
421,32,1149,32,1149,35558,3,5.599232,84.535294
422,32,1149,32,1149,35514,3,5.587968,84.953087
423,32,2170,32,1149,35468,3,5.630976,150.301697
424,32,1149,32,2170,35300,3,8.380416,85.611519
425,32,3191,32,1149,35248,3,5.671936,212.666367
426,32,1149,32,3191,34953,3,11.250688,86.512642
427,32,2170,32,1149,34895,3,5.635072,150.244354
428,32,128,32,2170,34704,3,8.43776,24.816641
429,32,1149,32,128,34787,3,3.099648,83.796989
430,32,1149,32,1149,34727,3,5.629952,85.559296
431,32,1149,32,1149,34679,3,5.597184,84.915199
432,32,1149,32,1149,34633,3,5.595136,84.940804
433,32,128,32,1149,34569,3,5.605376,24.879105
434,32,128,32,128,34655,3,3.0976,24.450048
435,32,1149,32,128,34741,3,3.079168,83.77037
436,32,2169,32,1149,34715,3,5.638144,150.174713
437,32,1149,32,2169,34515,3,8.431616,85.325821
438,32,128,32,1149,34467,3,5.62176,24.854528
439,32,1149,32,128,34552,3,3.110912,84.701187
440,32,128,32,1149,34513,3,5.68832,24.952831
441,32,1149,32,128,34592,3,3.109888,84.286461
442,32,128,32,1149,34546,3,5.62688,24.871937
443,32,1149,32,128,34634,3,3.115008,84.100098
444,32,2169,32,1149,34574,3,5.638144,149.983231
445,32,128,32,2169,34390,3,8.42752,24.812544
446,32,128,32,128,34476,3,3.11296,24.347649
447,32,1149,32,128,34558,3,3.068928,83.736572
448,32,128,32,1149,34513,3,5.613568,24.800257
449,32,128,32,128,34591,3,3.10272,24.415232
450,32,128,32,128,34673,3,3.065856,24.174591
451,32,128,32,128,34747,3,3.05664,24.141825
452,32,128,32,128,34821,3,3.065856,24.082432
453,32,128,32,128,34893,3,3.058688,24.000511
454,32,128,32,128,34963,3,3.052544,23.980032
455,32,1149,32,128,35042,3,3.0464,83.153923
456,32,1149,32,1149,34978,3,5.618688,85.421059
457,32,128,32,1149,34910,3,5.643264,24.961023
458,32,1149,32,128,34974,3,3.129344,84.558846
459,32,1149,32,1149,34935,3,5.660672,85.789696
460,32,128,32,1149,34854,3,5.62176,24.888321
461,32,128,32,128,34937,3,3.119104,24.41728
462,32,1149,32,128,35009,3,3.073024,83.600388
463,32,128,32,1149,34959,3,5.641216,24.819712
464,32,128,32,128,35029,3,3.110912,24.359936
465,32,128,32,128,35105,3,3.075072,24.119295
466,32,128,32,128,35183,3,3.062784,23.931904
467,32,128,32,128,35254,3,3.043328,23.957504
468,32,128,32,128,35332,3,3.044352,23.948288
469,32,128,32,128,35411,3,3.04128,23.962624
470,32,1149,32,128,35483,3,3.043328,83.842049
471,32,128,32,1149,35441,3,5.66784,25.021441
472,32,1148,32,128,35522,3,3.098624,84.059135
473,32,3190,32,1148,35472,3,5.628928,210.928635
474,32,128,32,3190,35169,3,11.021312,25.165825
475,32,1149,32,128,35247,3,3.124224,84.57933
476,32,128,32,1149,35196,3,5.641216,24.979456
477,32,1149,32,128,35273,3,3.0976,84.415489
478,32,1117,32,1149,35209,3,5.63712,84.624382
479,32,128,32,1117,35147,3,5.605376,24.884224
480,32,1148,32,128,35226,3,3.11808,83.966972
481,32,2170,32,1148,35168,3,5.685248,150.620163
482,32,1149,32,2170,34997,3,8.421376,85.116928
483,32,128,32,1149,34924,3,5.58592,24.82688
484,32,1148,32,128,35000,3,3.117056,83.732483
485,32,128,32,1148,34935,3,5.627904,24.864767
486,32,1149,32,128,35020,3,3.111936,83.895294
487,32,128,32,1149,34963,3,5.62688,24.873983
488,32,1149,32,128,35029,3,3.111936,84.677635
489,32,1149,32,1149,34963,3,5.705728,85.900291
490,32,2170,32,1149,34921,3,5.645312,150.630402
491,32,1149,32,2170,34722,3,8.443904,85.711868
492,32,128,32,1149,34658,3,5.636096,24.853504
493,32,128,32,128,34735,3,3.116032,24.449024
494,32,128,32,128,34808,3,3.075072,24.260609
495,32,2170,32,128,34891,3,3.065856,148.339706
496,32,128,32,2170,34699,3,8.44288,24.982529
497,32,128,32,128,34784,3,3.13344,24.578049
498,32,1149,32,128,34865,3,3.075072,83.251198
